input,2050_KM,2050_KGG_midden,2050_KGG_hoog,2050_GP_basis,2050_GP_midden,2050_GP_hoog,2030_KM,2030_KGG_midden,2030_KGG_hoog,2030_GP_basis,2030_GP_midden,2030_GP_hoog,2035_KM,2035_KGG_midden,2035_KGG_hoog,2035_GP_basis,2035_GP_midden,2035_GP_hoog,2040_KM,2040_KGG_midden,2040_KGG_hoog,2040_GP_basis,2040_GP_midden,2040_GP_hoog
costs_infrastructure_electricity_lv_mv_trafo,,,,,,,,,,,,,,,,,,,,,,200,200,200
costs_infrastructure_electricity_lv_net,,,,,,,,,,,,,,,,,,,,,,916,916,916
costs_infrastructure_electricity_mv_hv_trafo,,,,,,,,,,,,,,,,,,,,,,250,250,250
costs_infrastructure_electricity_mv_net,,,,,,,,,,,,,,,,,,,,,,690,690,690
costs_infrastructure_electricity_offshore_net,,,,,,,,,,,,,,,,,,,,,,810,810,810
costs_oil,,,,,,,,,,,,,,,,,,,,,,84.25191481,84.25191481,84.25191481
costs_uranium,,,,,,,,,,,,,,,,,,,,,,46.84842194,46.84842194,46.84842194
costs_wacc_households,,,,,,,,,,,,,,,,,,,,,,3,3,3
costs_wacc_proven_technologies,,,,,,,,,,,,,,,,,,,,,,3,3,3
costs_wacc_public_infrastructure,,,,,,,,,,,,,,,,,,,,,,3,3,3
costs_wacc_unproven_technologies,,,,,,,,,,,,,,,,,,,,,,3,3,3
costs_wood,,,,,,,,,,,,,,,,,,,,,,150,150,150
curtailment_of_buildings_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,50,50,50
curtailment_of_energy_power_solar_pv_offshore,,,,,,,,,,,,,,,,,,,,,,0,0,0
curtailment_of_energy_power_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,50,50,50
curtailment_of_households_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,10,10,10
deficit_limit_of_industry_chemical_flexibility_load_shifting_electricity,,48,72,,48,72,,32.52,41.03,,32.52,41.03,,36.39,48.77,,36.39,48.77,,40.26,56.52,24,40.26,56.52
deficit_limit_of_industry_metal_flexibility_load_shifting_electricity,,48,72,,48,72,,32.52,41.03,,32.52,41.03,,36.39,48.77,,36.39,48.77,,40.26,56.52,24,40.26,56.52
deficit_limit_of_industry_other_flexibility_load_shifting_electricity,,48,72,,48,72,,32.52,41.03,,32.52,41.03,,36.39,48.77,,36.39,48.77,,40.26,56.52,24,40.26,56.52
deficit_limit_of_industry_other_ict_flexibility_load_shifting_electricity,,48,72,,48,72,,32.52,41.03,,32.52,41.03,,36.39,48.77,,36.39,48.77,,40.26,56.52,24,40.26,56.52
demand_of_molecules_direct_air_capture_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
demand_of_molecules_offshore_sequestration_co2,,,,,,,,,,,,,,,,,,,,,,43.1,43.1,43.1
demand_of_molecules_other_utilisation_co2,,,,,,,,,,,,,,,,,,,,,,2.342574,2.342574,2.342574
efficiency_agriculture_chp_engine_biogas_electricity,,,,,,,,,,,,,,,,,,,,,,42,42,42
efficiency_agriculture_chp_engine_biogas_heat,,,,,,,,,,,,,,,,,,,,,,39,39,39
efficiency_agriculture_chp_engine_dispatchable_network_gas_electricity,,,,,,,,,,,,,,,,,,,,,,42,42,42
efficiency_agriculture_chp_engine_dispatchable_network_gas_heat,,,,,,,,,,,,,,,,,,,,,,53.5,53.5,53.5
efficiency_agriculture_chp_engine_must_run_network_gas_electricity,,,,,,,,,,,,,,,,,,,,,,42,42,42
efficiency_agriculture_chp_engine_must_run_network_gas_heat,,,,,,,,,,,,,,,,,,,,,,53.5,53.5,53.5
efficiency_agriculture_chp_wood_pellets_electricity,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,6.5
efficiency_agriculture_chp_wood_pellets_heat,,,,,,,,,,,,,,,,,,,,,,44,44,44
efficiency_agriculture_heatpump_water_water_electricity,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5
efficiency_agriculture_heatpump_water_water_ts_electricity,,,,,,,,,,,,,,,,,,,,,,23,23,23
efficiency_ammonia_reforming,,,,,,,,,,,,,,,,,,,,,,78.5,78.5,78.5
efficiency_buildings_space_heater_collective_heatpump_water_water_ts_electricity,,,,,,,,,,,,,,,,,,,,,,3.76,3.76,3.76
efficiency_buildings_space_heater_combined_hydrogen,,,,,,,,,,,,,,,,,,,,,,108.6956522,108.6956522,108.6956522
efficiency_buildings_space_heater_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_buildings_space_heater_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_buildings_space_heater_hybrid_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_buildings_space_heater_network_gas,,,,,,,,,,,,,,,,,,,,,,106.7,106.7,106.7
efficiency_buildings_space_heater_wood_pellets,,,,,,,,,,,,,,,,,,,,,,82,82,82
efficiency_energy_chp_combined_cycle_network_gas_electricity,,,,,,,,,,,,,,,,,,,,,,43.3,43.3,43.3
efficiency_energy_chp_combined_cycle_network_gas_heat,,,,,,,,,,,,,,,,,,,,,,30.5,30.5,30.5
efficiency_energy_chp_local_engine_biogas_electricity,,,,,,,,,,,,,,,,,,,,,,42,42,42
efficiency_energy_chp_local_engine_biogas_heat,,,,,,,,,,,,,,,,,,,,,,39,39,39
efficiency_energy_chp_local_engine_network_gas_electricity,,,,,,,,,,,,,,,,,,,,,,39.2,39.2,39.2
efficiency_energy_chp_local_engine_network_gas_heat,,,,,,,,,,,,,,,,,,,,,,50,50,50
efficiency_energy_chp_local_wood_pellets_electricity,,,,,,,,,,,,,,,,,,,,,,18.3,18.3,18.3
efficiency_energy_chp_local_wood_pellets_heat,,,,,,,,,,,,,,,,,,,,,,47,47,47
efficiency_energy_chp_supercritical_waste_mix_electricity,,,,,,,,,,,,,,,,,,,,,,20.45,20.45,20.45
efficiency_energy_chp_supercritical_waste_mix_heat,,,,,,,,,,,,,,,,,,,,,,19.95,19.95,19.95
efficiency_energy_chp_ultra_supercritical_coal_electricity,,,,,,,,,,,,,,,,,,,,,,44,44,44
efficiency_energy_chp_ultra_supercritical_coal_heat,,,,,,,,,,,,,,,,,,,,,,13,13,13
efficiency_energy_chp_ultra_supercritical_cofiring_coal_electricity,,,,,,,,,,,,,,,,,,,,,,40,40,40
efficiency_energy_chp_ultra_supercritical_cofiring_coal_heat,,,,,,,,,,,,,,,,,,,,,,15,15,15
efficiency_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,70,70,70
efficiency_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,80,80,80
efficiency_energy_flexibility_mv_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,85,85,85
efficiency_energy_power_combined_cycle_coal,,,,,,,,,,,,,,,,,,,,,,45.3,45.3,45.3
efficiency_energy_power_combined_cycle_hydrogen,,,,,,,,,,,,,,,,,,,,,,60,60,60
efficiency_energy_power_combined_cycle_network_gas,,,,,,,,,,,,,,,,,,,,,,60,60,60
efficiency_energy_power_engine_diesel,,,,,,,,,,,,,,,,,,,,,,38,38,38
efficiency_energy_power_engine_network_gas,,,,,,,,,,,,,,,,,,,,,,48,48,48
efficiency_energy_power_nuclear_gen2_uranium_oxide,,,,,,,,,,,,,,,,,,,,,,36.93,36.93,36.93
efficiency_energy_power_nuclear_gen3_uranium_oxide,,,,,,,,,,,,,,,,,,,,,,36.93,36.93,36.93
efficiency_energy_power_nuclear_small_modular_reactor_uranium_oxide,,,,,,,,,,,,,,,,,,,,,,28,28,28
efficiency_energy_power_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,24,24,24
efficiency_energy_power_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,36,36,36
efficiency_energy_power_supercritical_waste_mix,,,,,,,,,,,,,,,,,,,,,,25,25,25
efficiency_energy_power_turbine_hydrogen,,,,,,,,,,,,,,,,,,,,,,34,34,34
efficiency_energy_power_turbine_network_gas,,,,,,,,,,,,,,,,,,,,,,34,34,34
efficiency_energy_power_ultra_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,46,46,46
efficiency_energy_power_ultra_supercritical_cofiring_coal,,,,,,,,,,,,,,,,,,,,,,42,42,42
efficiency_energy_power_ultra_supercritical_crude_oil,,,,,,,,,,,,,,,,,,,,,,45,45,45
efficiency_energy_power_ultra_supercritical_network_gas,,,,,,,,,,,,,,,,,,,,,,40,40,40
efficiency_households_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,90,90,90
efficiency_households_space_heater_combined_hydrogen,,,,,,,,,,,,,,,,,,,,,,110,110,110
efficiency_households_space_heater_combined_network_gas,,,,,,,,,,,,,,,,,,,,,,107,107,107
efficiency_households_space_heater_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_households_space_heater_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_households_space_heater_heatpump_ground_water_electricity,,,,,,,,,,,,,,,,,,,,,,4.8,4.8,4.8
efficiency_households_space_heater_hybrid_crude_oil_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_households_space_heater_hybrid_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
efficiency_households_space_heater_network_gas,,,,,,,,,,,,,,,,,,,,,,80,80,80
efficiency_households_space_heater_wood_pellets,,,,,,,,,,,,,,,,,,,,,,82,82,82
efficiency_hydrogen_electrolysis,,,,,,,,,,,,,,,,,,,,,,75.75757576,75.75757576,75.75757576
efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity,,,,,,,,,,,,,,,,,,,,,,43.3,43.3,43.3
efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat,,,,,,,,,,,,,,,,,,,,,,30.5,30.5,30.5
efficiency_industry_chp_engine_gas_power_fuelmix_electricity,,,,,,,,,,,,,,,,,,,,,,43,43,43
efficiency_industry_chp_engine_gas_power_fuelmix_heat,,,,,,,,,,,,,,,,,,,,,,47,47,47
efficiency_industry_chp_turbine_gas_power_fuelmix_electricity,,,,,,,,,,,,,,,,,,,,,,27,27,27
efficiency_industry_chp_turbine_gas_power_fuelmix_heat,,,,,,,,,,,,,,,,,,,,,,35,35,35
efficiency_industry_chp_turbine_hydrogen_electricity,,,,,,,,,,,,,,,,,,,,,,33.44481605,33.44481605,33.44481605
efficiency_industry_chp_turbine_hydrogen_heat,,,,,,,,,,,,,,,,,,,,,,41.47157191,41.47157191,41.47157191
efficiency_industry_chp_ultra_supercritical_coal_electricity,,,,,,,,,,,,,,,,,,,,,,40,40,40
efficiency_industry_chp_ultra_supercritical_coal_heat,,,,,,,,,,,,,,,,,,,,,,15,15,15
efficiency_industry_chp_wood_pellets_electricity,,,,,,,,,,,,,,,,,,,,,,18.3,18.3,18.3
efficiency_industry_chp_wood_pellets_heat,,,,,,,,,,,,,,,,,,,,,,47,47,47
efficiency_transport_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,87,87,87
electricity_interconnector_10_capacity,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800
electricity_interconnector_10_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_10_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_10_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_10_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_10_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_11_capacity,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_11_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_11_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_11_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_11_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_11_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_12_capacity,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_12_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_12_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_12_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_12_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_12_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_1_capacity,,,,,,,,,,,,,,,,,,,,,,4400,4400,4400
electricity_interconnector_1_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_1_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_1_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_1_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_1_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_2_capacity,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000
electricity_interconnector_2_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_2_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_2_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_2_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_2_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_3_capacity,,,,,,,,,,,,,,,,,,,,,,7000,7000,7000
electricity_interconnector_3_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_3_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_3_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_3_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_3_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_4_capacity,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000
electricity_interconnector_4_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_4_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_4_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_4_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_4_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_5_capacity,,,,,,,,,,,,,,,,,,,,,,700,700,700
electricity_interconnector_5_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_5_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_5_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_5_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_5_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_6_capacity,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_6_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_6_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_6_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_6_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_6_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_7_capacity,,,,,,,,,,,,,,,,,,,,,,700,700,700
electricity_interconnector_7_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_7_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_7_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_7_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_7_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_8_capacity,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_8_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_8_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_8_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_8_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_8_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
electricity_interconnector_9_capacity,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000
electricity_interconnector_9_co2_emissions_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_9_co2_emissions_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
electricity_interconnector_9_export_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_9_import_availability,,,,,,,,,,,,,,,,,,,,,,100,100,100
electricity_interconnector_9_marginal_costs,,,,,,,,,,,,,,,,,,,,,,37.5999984,37.5999984,37.5999984
energy_biogas_fermentation_share,,,,,,,,,,,,,,,,,,,,,,41.7,41.7,41.7
energy_greengas_gasification_dry_biomass_share,,,,,,,,,,,,,,,,,,,,,,29.2,29.2,29.2
energy_greengas_gasification_wet_biomass_share,,,,,,,,,,,,,,,,,,,,,,29.1,29.1,29.1
energy_heat_distribution_ht_loss_share,,,,,,,,,,,,,,,,,,,,,,20,20,20
energy_heat_distribution_lt_loss_share,,,,,,,,,,,,,,,,,,,,,,10,10,10
energy_heat_distribution_mt_loss_share,,,,,,,,,,,,,,,,,,,,,,15,15,15
energy_heat_network_storage_ht_loss_share,,,,,,,,,,,,,,,,,,,,,,30,30,30
energy_heat_network_storage_ht_steam_hot_water_output_capacity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
energy_heat_network_storage_lt_loss_share,,,,,,,,,,,,,,,,,,,,,,30,30,30
energy_heat_network_storage_lt_steam_hot_water_output_capacity_share,,,,,,,,,,,,,,,,,,,,,,25,25,25
energy_heat_network_storage_mt_loss_share,,,,,,,,,,,,,,,,,,,,,,30,30,30
energy_heat_network_storage_mt_steam_hot_water_output_capacity_share,,,,,,,,,,,,,,,,,,,,,,22,22,22
energy_hydrogen_distribution_compressed_trucks_share,,,,,,,,,,,,,,,,,,,,,,1,1,1
energy_hydrogen_transport_pipelines_share,,,,,,,,,,,,,,,,,,,,,,99,99,99
energy_mix_capacity_per_unit_wind_turbine_inland,,,,,,,,,,,,,,,,,,,,,,3,3,3
energy_mixer_for_gas_power_fuel_bio_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
energy_mixer_for_gas_power_fuel_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
energy_mixer_for_gas_power_fuel_natural_gas_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
energy_regasification_lng_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
energy_treatment_natural_gas_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
flexibility_heat_pump_space_heating_cop_cutoff_gas,,,,,,,,,,,,,,,,,,,,,,1.9,1.9,1.9
flexibility_heat_pump_water_heating_cop_cutoff,,,,,,,,,,,,,,,,,,,,,,6,6,6
flexibility_outdoor_temperature,,,,,,,,,,,,,,,,,,,,,,-0.839805078,-0.839805078,-0.839805078
flexibility_residual_load_curve_moving_average,,,,,,,,,,,,,,,,,,,,,,72,72,72
flh_of_energy_chp_local_ht_wood_pellets_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,8500,8500,8500
flh_of_energy_chp_local_mt_wood_pellets_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,8500,8500,8500
flh_of_energy_hydrogen_wind_turbine_offshore,,,,,,,,,,,,,,,,,,,,,,4518.961668,4518.961668,4518.961668
flh_of_energy_power_wind_turbine_coastal,,,,,,,,,,,,,,,,,,,,,,3050.435355,3050.435355,3050.435355
flh_of_energy_power_wind_turbine_inland,,,,,,,,,,,,,,,,,,,,,,3113.872087,3113.872087,3113.872087
flh_of_energy_power_wind_turbine_offshore,,,,,,,,,,,,,,,,,,,,,,4518.961727,4518.961727,4518.961727
flh_of_energy_power_wood_pellets_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,7500,7500,7500
flh_of_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,897.288045,897.288045,897.288045
fuel_production_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
fuel_production_crude_oil,,,,,,,,,,,,,,,,,,,,,,0,0,0
fuel_production_natural_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
fuel_production_uranium_oxide,,,,,,,,,,,,,,,,,,,,,,0,0,0
green_gas_total_share,,,,,,,,,,,,,,,,,,,,,,89.9,89.9,89.9
heat_storage_enabled_ht,,,,,,,,,,,,,,,,,,,,,,1,1,1
heat_storage_enabled_lt,,,,,,,,,,,,,,,,,,,,,,1,1,1
heat_storage_enabled_mt,,,,,,,,,,,,,,,,,,,,,,1,1,1
households_appliances_clothes_dryer_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,27,27,27
households_appliances_computer_media_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,37,37,37
households_appliances_dishwasher_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,27,27,27
households_appliances_fridge_freezer_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,27,27,27
households_appliances_other_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,27,27,27
households_appliances_television_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,37,37,37
households_appliances_vacuum_cleaner_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,27,27,27
households_appliances_washing_machine_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,27,27,27
households_behavior_low_temperature_washing,,,,,,,,,,,,,,,,,,,,,,50,50,50
households_behavior_standby_killer_turn_off_appliances,,,,,,,,,,,,,,,,,,,,,,50,50,50
households_behavior_turn_off_the_light,,,,,,,,,,,,,,,,,,,,,,50,50,50
households_cooker_halogen_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_cooker_induction_electricity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
households_cooker_network_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_cooker_resistive_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_cooker_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_cooling_airconditioning_electricity_share,,,,,,,,,,,,,,,,,,,,,,65,65,65
households_cooling_heatpump_air_water_electricity_share,,,,,,,,,,,,,,,,,,,,,,29,29,29
households_cooling_heatpump_ground_water_electricity_share,,,,,,,,,,,,,,,,,,,,,,6,6,6
households_cooling_heatpump_surface_water_water_ts_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_flexibility_consumer_electricity_price,,,,,,,,,,,,,,,,,,,,,,30,30,30
households_flexibility_consumer_gas_price,,,,,,,,,,,,,,,,,,,,,,142,142,142
households_flexibility_p2p_electricity_market_penetration,,,,,,,,,,,,,,,,,,,,,,19.6,19.6,19.6
households_heater_combined_hydrogen_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,22,22,22
households_heater_combined_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_heater_combined_network_gas_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,22,22,22
households_heater_combined_network_gas_share,,,,,,,,56.87,56.87,,58.79,57.38,,42.64,42.63,,32.88,30.82,,28.42,28.42,0,0,0
households_heater_district_heating_ht_steam_hot_water_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10,10,10
households_heater_district_heating_ht_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_heater_district_heating_lt_steam_hot_water_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10,10,10
households_heater_district_heating_lt_steam_hot_water_share,,0.95,0.95,,0.95,0.95,,0.34,0.34,,0.34,0.34,,0.49,0.49,,0.49,0.49,,0.64,0.64,0.95,0.95,0.95
households_heater_district_heating_mt_steam_hot_water_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10,10,10
households_heater_district_heating_mt_steam_hot_water_share,,23.025,27,,23.025,27,,8.17,9.58,,8.17,9.58,,11.88,13.94,,11.88,13.94,,15.6,18.29,19.05,23.025,27
households_heater_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,6,6,6
households_heater_electricity_share,,8,8,,8,8,,3.81,3.81,,3.81,3.81,,4.86,4.86,,4.86,4.86,,5.91,5.91,8,8,8
households_heater_heatpump_air_water_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10,10,10
households_heater_heatpump_air_water_electricity_share,,33.525,29.55,18.75,33.525,29.55,,13.45,12.04,4.535,4.535,4.535,,18.47,16.42,8.185,8.185,8.185,,23.49,20.8,18.75,14.775,10.8
households_heater_heatpump_ground_water_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10,10,10
households_heater_heatpump_ground_water_electricity_share,,12.5,12.5,,12.5,12.5,,4.95,4.95,,4.95,4.95,,6.84,6.84,,6.84,6.84,,8.73,8.73,12.5,12.5,12.5
households_heater_heatpump_pvt_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,7.8
households_heater_heatpump_pvt_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_heater_heatpump_surface_water_water_ts_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10,10,10
households_heater_heatpump_surface_water_water_ts_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_heater_hybrid_heatpump_air_water_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.9
households_heater_hybrid_heatpump_air_water_electricity_share,,22,22,40.75,22,22,,7.91,7.91,14.905,14.905,14.905,,11.44,11.44,31.485,31.485,31.485,,14.96,14.96,40.75,40.75,40.75
households_heater_hybrid_hydrogen_heatpump_air_water_electricity_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.9
households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_heater_network_gas_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,22,22,22
households_heater_network_gas_share,,,,,,,,1.46,1.46,,1.46,1.46,,1.1,1.1,,1.1,1.1,,0.73,0.73,0,0,0
households_heater_wood_pellets_heat_output_capacity,,,,,,,,,,,,,,,,,,,,,,10.1,10.1,10.1
households_heater_wood_pellets_share,,,,,,,,3.04,3.04,,3.04,3.04,,2.28,2.28,,2.28,2.28,,1.52,1.52,0,0,0
